price;title;location;surface;rooms
1079000;Mieszkanie Warszawa Gocław, ul. Jeziorańskiego;Gocław;79.0;3
399000;Mieszkanie Warszawa Gocław;Gocław;33.0;1
588375;Nowe mieszkanie Warszawa Siekierki;Siekierki;39.91;2
1200000;Mieszkanie Warszawa Stare Miasto, ul. Bednarska;Stare Miasto;105.0;4
2547000;Mieszkanie Warszawa Mokotów, ul. Jana III Sobieskiego;Mokotów;196.0;6
1058884;Nowe mieszkanie Warszawa Siekierki;Siekierki;91.35;4
1521450;Mieszkanie Warszawa Mirów, ul. Grzybowska 61;Mirów;72.45;3
1399999;Mieszkanie Warszawa Śródmieście;Śródmieście;47.0;2
3000000;Mieszkanie Warszawa Praga-Północ;Praga-Północ;147.0;5
1140000;Nowe mieszkanie Warszawa Śródmieście, ul. Grzybowska 37;Śródmieście;61.91;2
1079900;Mieszkanie Warszawa Czyste, ul. Giełdowa;Czyste;60.0;2
3000000;Mieszkanie Warszawa Mokotów;Mokotów;135.0;3
1050000;Mieszkanie Warszawa Śródmieście, ul. Daniłowiczowska;Śródmieście;52.0;3
565000;Mieszkanie Warszawa Nowa Praga, ul. Środkowa;Nowa Praga;43.0;3
2690000;Mieszkanie Warszawa Sielce, ul. Zbyszka Cybulskiego;Sielce;112.8;3
949000;Mieszkanie Warszawa Gocław, ul. Perkuna;Gocław;82.7;3
847000;Mieszkanie Warszawa Śródmieście, ul. Wspólna;Śródmieście;53.0;2
1380000;Mieszkanie Warszawa Śródmieście, ul. Wybrzeże Kościuszkowskie;Śródmieście;60.0;3
938000;Mieszkanie Warszawa Praga-Północ, ul. Kępna;Praga-Północ;58.64;2
1643880;Mieszkanie Warszawa Mokotów, ul. Chodkiewicza;Mokotów;78.28;4
670000;Mieszkanie Warszawa Mirów, ul. Pańska;Mirów;38.0;2
485000;Mieszkanie Warszawa Praga-Południe, ul. Motorowa;Praga-Południe;42.1;1
650000;Mieszkanie Warszawa Wola, ul. Pereca;Wola;48.0;3
714400;Mieszkanie Warszawa Mokotów, ul. Stępińska;Mokotów;47.0;2
743000;Nowe mieszkanie Warszawa Wola, ul. Kolejowa;Wola;43.72;2
7141000;Mieszkanie Warszawa Śródmieście, ul. Jana Pawła II;Śródmieście;368.0;5
2950000;Mieszkanie Warszawa Śródmieście Południowe, ul. Noakowskiego 10;Śródmieście Południowe;142.0;4
6600000;Mieszkanie Warszawa Śródmieście, ul. Wojciecha Górskiego;Śródmieście;188.4;5
479000;Mieszkanie Warszawa Grochów, ul. 1 Praskiego Pułku 8;Grochów;48.5;2
3200000;Mieszkanie Warszawa Nowe Miasto, ul. Bonifraterska;Nowe Miasto;120.0;4
15671000;Mieszkanie Warszawa Śródmieście Północne, ul. Niecała;Śródmieście Północne;344.0;6
4900000;Mieszkanie Warszawa Śródmieście, ul. Kruczkowskiego;Śródmieście;163.8;4
